Teks_Aspirasi,Biro / Unit
wifi di seluruh gedung lambat,puskom
poliklinik salah diagnosa,poliklinik
saya pernah daftar pinjam ruang gedung untuk giat asistensi jurus pada uppk namun saat hari dan waktu yang telah daftar ruang masih kunci dan tidak dapat temu tugas yang tugas buka ruang,uppk
toilet di gedung kadang kurang bersih dan kadang keran air tidak nyala,uppk
wifi di selasar p p tidak konsisten,puskom
untuk poliklinik mungkin bisa timbang alternatif untuk sedia macam versi unit yang lebih kecil yang sebar di tiap gedung ha macam uks di sekolah dasar sma dulu saja sudah might be really bantu utama untuk jenis cedera sakit yang sifat desak saya cukup pikir perihal ini karena saya pribadi alami sulit untuk dapat fasilitas sehat di kampus salah satu saat itu saya alami nyeri haid yang cukup parah hingga keringat dingin dan tidak sanggup jalan saya bawa obat reda tetapi yang saya butuh benar ha tempat untuk baring dan kompres hangat dari gedung saya usaha jalan ke poliklinik tapi alhasil saya ha sanggup capai gedung dan paksa baring di depan bank mandiri saya juga sempat diskusi tentang hal ini dengan beberapa teman saya dan mereka cukup tuju dengan alas antisipasi sakit yang desak jika pihak biro kampus milik solusi lain untuk masalah ini saya juga sangat harga terima kasih,poliklinik
pegawai dan staf baka tidak ramah,baka
cctv kurang di bagi area tangga sehingga waktu peristiwa hilang laptop di gedung lantai tidak bisa lacak,ukk
komputer kadang nge lag keyboard dan mouse ada yang agak rusak tapi masih guna,puskom
wifi hampir di semua gedung beberapa kali tidak bisa guna dan jika bisa koneksi lambat,puskom
atur guna pustaka kurang ketat sehingga sering disalahgunakan dan suasana kurang kondusif,perpustakaan
parkir untuk motor maupun mobil kurang di gedung padahal mahasiswa ekonomi universitas kristen petra juga golong sangat banyak,ukk
bisa sedia ebook bagi mahasiswa,perpustakaan
poliklinik tidak buka sampai malam sehingga para s s sulit dapat fasilitas,poliklinik
waktu layan pustaka batas untuk s s yang sedang kerja sehingga kurang bisa maksimal dalam manfaat fasilitas,perpustakaan
layan login pada wifi yang sebentar putus,puskom
ruang puskom yang beberapa kali masih masalah di jaring,puskom
layan puskom di gedung sudah baik,puskom
terkadang toilet cowok pesing,uppk
komputer lab tidak bisa guna untuk ajar android tidak mau compile,puskom
ada kursi di kelas yang kurang nyaman,uppk
layan di poliklinik lambat tidak ramah dan seringkali salah diagnosa,poliklinik
toilet gedung banyak yang becek,uppk
layan skkk di baka lambat dan orang juga kurang ramah,baka
proyektor di dalam kelas yang kurang baik dan speaker di dalam kelas serta di audio visual kurang baik,uppk
beberapa toilet kurang terang lantai toilet basah khusus di lantai toilet juga bau khusus lantai dan kj,uppk
kursi di kelas beberapa sudah tidak layak guna gedung,uppk
wifi tidak sampai ke beberapa lantai wifi lemot,puskom
kadang waktu sudah pinjam ruang tidak buka lambat buka,uppk
beberapa toilet pengap kurang ventilasi udara dan bau semprot air di beberapa toilet rusak bocor,uppk
tempat sampah pisah antara organik bukan organik tapi waktu cleaning service masukin sampah semua jadiin satu kan sia jadi,uppk
terkadang diagnosa bisa beda dengan saat obat ke dokter di rumah sakit dokter umum beberapa orang yang layan di poliklinik juga kurang ramah kepada orang yang obat,poliklinik
layan untuk skkk di baka lambat keluar terkadang beberapa staf juga lihat tidak ramah,baka
lift gedung kurang pada karena gedung ha dapat lift dan salah satu lift kerap mati,uppk
situs kumpul skripsi di pustaka sering masalah,perpustakaan
layan oleh staf pustaka di bagi sirkulasi kurang ramah,perpustakaan
tiap ada urus ke baak saya selalu rasa tekan dan tidak nyaman sekali sehingga saya harus cari teman yang sedia ganti saya untuk hadap mbak dan ibu jutek di sana,baak
untuk alam saya layan info akademik dan mahasiswa baak kurang bantu dan mampu ajak komunikasi dengan baik padahal saya datang dengan baik dan sopan contoh seperti mereka cenderung tidak sopan kasar tidak sopan lampias amarah stres pada saya dengan pasif agresif tidak beri info jelas dan lengkap sehingga jadi miskomunikasi dan masih banyak lagi,baak
wifi di gedung perlu tambah cepat hubung wifi dapat tunjang aktivitas ajar ajar di kelas,puskom
layan skkk sangat lambat hingga dekat yudisium harus tagih x mohon untuk dapat lebih cepat,baka
layan skkk di baka terkadang lambat yang buat kita tunggu kapan skkk itu masuk,baka
jumlah makan sedikit sekali utama di kantin,kantin
kantin dan panas,kantin
parkir di gedung dan agak kecil yang buat semua mobil tidak bisa masuk ke dalam gedung itu jadi semua harus parkir di anta kalau dua gedung sebut parkir penuh,ukk
layan puskom kurang ramah,puskom
letak poliklinik kurang strategis civitas akademika dari gedung dan jarang sekali ke puskesmas,poliklinik
simulasi celaka seperti bakar atau bom terkadang kurang paham seluruh oleh civitas akademika,ukk
minim informasi dan sosialisasi tentang tata cara atau prosedur dalam urus pinjam sesuatu seringkali mahasiswa baru harus habis banyak waktu untuk ta ke sana kemari untuk cari orang yang tepat untuk jawab dan selesai perlu,uppk
parkir mobil di lapang anta mungkin bisa pindah di lahan belakang gedung,ukk
terkadang miskomunikasi uppk dengan pegang akses ruang masih sering jadi sehingga ruang belum buka pada waktu sesuai pinjam mesti,uppk
jaring wifi kampus yang kerja sama dengan google tetap lemah sinyal bahkan terkadang tidak hubung,puskom
layan baak kait buat ktm baru sudah cukup baik dan cepat,baak
layan pustaka untuk tunjang studi literatur mahasiswa sudah sangat baik,perpustakaan
suasana di beberapa sudut ajar di pustaka terkadang masih cukup ramai,perpustakaan
beberapa kursi kelas sudah perlu baik paku kayu kursi cuat keluar fasilitas mikrofon di beberapa kelas sudah mulai tidak dengar jelas,uppk
toilet di gedung radius prawiro dekat kolam jodoh seringkali bau tidak enak dan sangat ganggu saran saya bisa lebih perhati untuk bersih ingat toilet sebut ada di gedung utama dari universitas kristen petra terima kasih,uppk
internet di puskom gedung pada semester lalu sering putus sambung saran saya mungkin jaring internet dapat pantau dan benar bila mungkin terima kasih,puskom
proyektor di gedung kadang banyak yang rusak proyektor di lantai banyak yang buram dan biru,uppk
wifi lambat,puskom
