Teks_Aspirasi,Biro / Unit
wifi di seluruh gedung lambat,puskom
poliklinik salah diagnosa,poliklinik
saya pernah daftar meminjam ruang gedung untuk kegiatan asistensi jurusan pada uppk namun saat hari dan waktu yang telah didaftarkan ruang masih terkunci dan tidak dapat menemukan petugas yang bertugas membuka ruangan,uppk
toilet di gedung kadang kurang bersih dan kadang keran airnya tidak nyala,uppk
wifi di selasar tidak konsisten,puskom
untuk poliklinik mungkin bisa dipertimbangkan alternatif untuk menyediakan semacam versi unit yang lebih kecil yang tersebar di setiap gedung hanya semacam uks di sekolah sd sma dulu saja sudah might be really helpful terutama untuk jenis cedera illness yang bersifat urgent saya cukup memikirkan perihal ini karena saya pribadi mengalami kesulitan untuk mendapat fasilitas kesehatan di kampus salah satunya saat itu saya mengalami nyeri haid yang cukup parah hingga keringat dingin dan tidak sanggup berjalan saya membawa obat peredanya tetapi yang saya butuhkan sebenarnya hanya tempat untuk berbaring dan kompress hangat dari gedung saya berusaha berjalan ke poliklinik tapi alhasil saya hanya sanggup mencapai gedung dan terpaksa berbaring di depan bank mandiri saya juga sempat mendiskusikan tentang hal ini dengan beberapa teman saya dan mereka cukup setuju dengan alasan antisipasi penyakit yang urgent jika pihak biro kampus memiliki solusi lain untuk problem ini saya juga sangat menghargainya terima kasih,poliklinik
pegawai dan staff baka tidak ramah,baka
cctv kurang dibagian area tangga sehingga waktu peristiwa kehilangan laptop di ged lantai tidak bisa terlacak,ukk
komputer kadang ngelag keyboard dan mouse ada yang agak rusak tapi masih digunakan,puskom
wifi hampir di semua gedung beberapa kali tidak bisa digunakan dan jika bisa koneksinya lambat,puskom
peraturan penggunaan perpustakaan kurang ketat sehingga sering disalahgunakan dan suasana kurang kondusif,perpustakaan
parkiran untuk motor maupun mobil kurang di gedung padahal mahasiswa ekonomi uk petra juga tergolong sangat banyak,ukk
bisa menyediakan book bagi mahasiswa,perpustakaan
poliklinik tidak buka sampai malam sehingga para sulit mendapatkan fasilitasnya,poliklinik
waktu layanan perpustakaan terbatas untuk yang sedang bekerja sehingga kurang bisa maksimal dalam memanfaatkan fasilitas,perpustakaan
layanan login pada wifi yang sebentar terputus,puskom
ruang puskom yang beberapa kali masih trouble di jaringan,puskom
pelayanan puskom di gedung sudah baik,puskom
terkadang toilet cowo pesing,uppk
komputer lab tidak bisa digunakan untuk pelajaran android tidak mau compile,puskom
ada kursi di kelas yang kurang nyaman,uppk
layanan di poliklinik lamban tidak ramah dan seringkali salah diagnosa,poliklinik
toilet gedung banyak yang becek,uppk
layanan skkk di baka lambat dan orang nya juga kurang ramah,baka
lcd di dalam kelas yang kurang baik dan speaker di dalam kelas serta di avt kurang baik,uppk
beberapa toilet kurang terang lantai toilet basah khususnya di lantai toilet juga bau khususnya lantai dan kj,uppk
kursi di kelas beberapa sudah tidak layak pakai gedung,uppk
wifi tidak sampai ke beberapa lantai wifi lemot,puskom
kadang waktu sudah pinjam ruangan tidak dibukakan terlambat membuka,uppk
beberapa toilet pengap kurang ventilasi udara dan bau semprotan air di beberapa toilet rusak bocor,uppk
tempat sampahnya dipisah antara organik non organik tapi waktu cleaning service nya masukin sampah semua jadiin satu kan sia jadinya,uppk
terkadang diagnosa bisa berbeda dengan saat berobat ke dokter di rumah sakit dokter umum beberapa orang yang melayani di poliklinik juga kurang ramah kepada orang yang berobat,poliklinik
layanan untuk skkk di baka lambat keluarnya terkadang beberapa stafnya juga terlihat tidak ramah,baka
lift gedung kurang memadai karena gedung hanya terdapat lift dan salah satu lift kerap dimatikan,uppk
website pengumpulan skripsi di perpustakaan sering trouble,perpustakaan
pelayanan oleh staff perpustakaan di bagian sirkulasi kurang ramah,perpustakaan
setiap ada urusan ke baak saya selalu merasa tertekan dan tidak nyaman sekali sehingga saya harus cari teman yang bersedia menggantikan saya untuk menghadapi mbak mbak dan ibu ibu jutek di sana,baak
untuk pengalaman saya layanan info akademik dan kemahasiswaan baak kurang membantu dan mampu di ajak komunikasi dengan baik padahal saya datang dengan baik baik dan sopan contohnya seperti mereka cenderung tidak sopan kasar disrespectful melampiaskan amarah stres pada saya dengan passive agressive tidak memberikan info jelas dan lengkap sehingga terjadi miskomunikasi dan masih banyak lagi,baak
wifi di gedung perlu ditambah kecepatannya berhubung wifi dapat menunjang aktivitas belajar mengajar di kelas,puskom
layanan skkk sangat lambat hingga mendekati yudisium harus menagih mohon untuk dapat lebih dipercepat,baka
layanan skkk di baka terkadang lambat yang membuat kita menunggu kapan skkk itu masuk,baka
jumlah makanannya sedikit sekali terutama di kantin,kantin
kantin dan panas,kantin
parkiran di gedung dan agak kecil yang membuat semua mobil tidak bisa masuk ke dalam gedung itu jadi nya semuanya harus parkir di anta kalau kedua gedung tersebut parkirnya penuh,ukk
pelayanan puskom kurang ramah,puskom
letak poliklinik kurang strategis civitas akademika dari gedung dan jarang sekali ke puskesmas,poliklinik
simulasi kecelakaan seperti kebakaran atau bom terkadang kurang dipahami menyeluruh oleh civitas akademika,ukk
minimnya informasi dan sosialisasi tentang tata cara atau prosedur dalam mengurus meminjam sesuatu sering kali mahasiswa baru harus menghabiskan banyak waktu untuk bertanya ke sana kemari untuk mencari orang yg tepat untuk menjawab dan menyelesaikan keperluannya,uppk
parkir mobil di lapangan anta mungkin bisa dipindahkan di lahan belakang gedung,ukk
terkadang miskomunikasi uppk dengan pemegang akses ruangan masih sering terjadi sehingga ruangan belum dibuka pada waktu sesuai peminjaman semestinya,uppk
jaringan wifi kampus yang bekerja sama dengan google tetap lemah sinyal bahkan terkadang tidak terhubung,puskom
layanan baak terkait pembuatan ktm baru sudah cukup baik dan cepat,baak
layanan perpustakaan untuk menunjang studi literatur mahasiswa sudah sangat baik,perpustakaan
suasana di beberapa sudut belajar di perpustakaan terkadang masih cukup ramai,perpustakaan
